Gender,Customer_Type,Age,Travel_Class,Travel_Distance,Arrival_Delay_in_Mins,Seat_Comfort,Catering,Platform_Location,Onboard_Wifi_Service,Onboard_Entertainment,Online_Support,Ease_of_Online_Booking,Onboard_Service,Legroom,Baggage_Handling,CheckIn_Service,Cleanliness,Online_Boarding
0,0.1821906328563891,36.0,0,532,0.0,3.0,3.0,3.0,2.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,1.0
0,1.0,21.0,0,1425,28.0,0.0,1.0,3.0,3.0,1.0,3.0,3.0,5.0,3.0,4.0,3.0,5.0,3.0
1,0.0,60.0,0,2832,0.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,2.0,2.0,2.0,4.0,2.0,5.0
0,0.0,29.0,1,1352,0.0,3.0,3.0,5.0,1.0,3.0,5.0,1.0,3.0,2.0,5.0,5.0,5.0,1.0
1,1.0,18.0,0,1610,0.0,5.0,5.0,2.0,5.0,5.0,5.0,5.0,3.4550870760769934,3.0,5.0,5.0,5.0,5.0
1,0.0,49.0,0,382,72.0,1.0,1.0,1.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0
1,1.0,40.0,0,1761,0.0,3.0,3.0,1.0,5.0,3.0,5.0,5.0,3.0,3.0,4.0,3.0,5.0,5.0
0,0.0,11.0,1,3989,9.0,2.0,2.0,2.0,5.0,1.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0
1,0.0,57.0,0,2731,0.0,3.0,4.0,4.0,2.0,3.0,4.0,4.0,4.0,4.0,3.0,2.0,4.0,3.0
0,0.0,43.0,1,2645,223.0,2.0,5.0,5.0,2.0,2.0,2.0,3.0,4.0,4.0,3.0,2.0,3.0,2.0
1,0.0,49.0,1,1963,16.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,1.0,2.0,1.0,3.0
0,0.0,20.0,1,1982,0.0,3.0,3.0,3.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0
0,1.0,20.0,1,1238,1.0,4.0,4.0,3.0,1.0,4.0,1.0,1.0,2.0,5.0,3.0,4.0,4.0,1.0
1,0.0,15.0,1,1734,0.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,1.0,5.0,1.0,3.0,1.0,3.0
0,1.0,28.0,1,2185,0.0,3.0,2.8503023724608467,3.0,1.0,3.0,1.0,1.0,1.0,3.0,3.0,4.0,4.0,1.0
0,0.0,17.0,0,1179,15.0,3.0,3.0,3.0,1.0,1.0,3.0,1.0,4.0,5.0,3.0,1.0,3.0,1.0
0,0.0,34.0,0,3927,21.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0
1,0.0,63.0,1,2830,0.0,3.0,5.0,5.0,3.0,3.0,3.0,3.0,4.0,1.0,2.0,1.0,3.0,3.0
1,0.0,35.0,0,2617,0.0,1.0,1.0,1.0,5.0,2.0,4.0,5.0,5.0,5.0,3.0,3.0,5.0,5.0
0,1.0,25.0,0,2383,30.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0
1,1.0,36.0,1,1611,0.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,4.0,2.0,4.0,1.0,4.0,1.0
0,0.0,27.0,1,1916,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0
0,1.0,29.0,0,1695,25.0,3.0,2.0,4.0,5.0,2.0,5.0,5.0,5.0,3.0,5.0,4.0,4.0,5.0
0,0.0,32.0,0,1690,2.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,3.0,5.0,5.0
1,0.0,49.0,1,3336,0.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,5.0,2.0,4.0,3.0,2.0
1,0.0,36.0,0,1478,86.0,2.0,1.0,1.0,3.0,4.0,4.0,2.0,2.0,3.0,2.0,1.0,2.0,1.0
1,0.0,46.0,0,3009,0.0,0.0,0.0,2.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0
0,0.0,54.0,0,2030,0.0,3.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,4.0,5.0,4.0
1,0.0,33.0,1,3941,0.0,1.0,0.0,3.0,5.0,0.0,5.0,5.0,5.0,5.0,3.0,3.0,5.0,5.0
1,0.0,25.0,1,1615,12.0,3.0,5.0,5.0,3.0,2.0,4.0,3.0,2.0,1.0,4.0,3.0,3.0,3.0
0,0.0,54.0,0,474,0.0,3.0,3.0,3.0,3.0,5.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
0,0.0,30.0,0,2070,0.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0
0,0.0,37.0,0,1910,0.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0
0,0.0,32.0,1,1703,0.0,5.0,2.8503023724608467,1.0,5.0,5.0,5.0,5.0,4.0,2.0,1.0,4.0,3.0,5.0
1,0.0,37.0,0,90,0.0,0.0,0.0,5.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0
1,0.0,35.0,0,531,1.0,3.0,3.0,3.0,2.0,2.0,4.0,5.0,5.0,5.0,5.0,1.0,5.0,4.0
0,0.0,43.0,1,867,0.0,5.0,4.0,4.0,4.0,3.0,5.0,5.0,3.4550870760769934,5.0,5.0,4.0,5.0,2.0
0,0.0,47.0,0,3105,1.0,1.0,1.0,1.0,2.0,5.0,3.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0
0,1.0,20.0,1,2451,4.0,4.0,4.0,4.0,1.0,4.0,1.0,1.0,3.0,2.0,3.0,3.0,4.0,1.0
1,1.0,30.0,0,2729,44.0,2.0,1.0,5.0,5.0,1.0,4.0,5.0,4.0,3.0,5.0,4.0,5.0,5.0
1,1.0,29.0,1,2771,16.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,1.0,3.0,1.0,3.0,3.0
1,1.0,49.0,0,1711,0.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,5.0,3.0,5.0,4.0
0,0.0,42.0,0,240,0.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,3.0
1,0.0,58.0,0,331,1.0,2.0,1.0,3.0,1.0,4.0,1.0,4.0,4.0,1.0,3.0,5.0,4.0,1.0
1,0.0,18.0,1,3216,44.0,2.0,2.0,4.0,1.0,2.0,1.0,1.0,3.0,2.0,3.0,1.0,3.0,1.0
1,1.0,27.0,1,2236,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,5.0,5.0,3.0,3.0
0,0.0,54.0,0,1038,0.0,2.0,2.0,2.0,5.0,4.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0,5.0
0,0.0,31.0,1,880,2.0,5.0,5.0,5.0,5.0,4.0,4.0,2.0,2.0,2.0,2.0,4.0,2.0,5.0
0,1.0,33.0,1,1167,0.0,3.0,2.0,5.0,5.0,2.0,5.0,5.0,1.0,3.0,3.0,5.0,5.0,5.0
1,0.0,48.0,1,1922,37.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,1.0,4.0,4.0,3.0,3.0
0,0.0,20.0,1,2017,0.0,3.0,3.0,3.0,2.0,5.0,4.0,2.0,3.4550870760769934,2.0,2.0,3.0,2.0,3.0
1,0.0,43.0,1,2021,0.0,2.0,5.0,5.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,4.0,3.0
0,0.0,44.0,1,637,0.0,3.0,2.8503023724608467,5.0,1.0,3.0,4.0,4.0,4.0,3.0,4.0,2.0,4.0,5.0
0,0.0,65.0,1,332,28.0,3.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,3.0,5.0,5.0
0,1.0,17.0,1,2554,7.0,5.0,5.0,2.0,5.0,3.0,3.0,5.0,2.0,5.0,4.0,3.0,3.0,3.0
1,0.0,48.0,0,605,0.0,3.0,2.0,2.0,5.0,4.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,4.0
1,0.0,45.0,0,1796,0.0,3.0,2.8503023724608467,4.0,2.0,4.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0
0,0.0,58.0,0,293,0.0,1.0,1.0,1.0,3.0,5.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0
1,0.1821906328563891,40.0,0,1712,0.0,4.0,4.0,2.0,5.0,4.0,1.0,5.0,3.0,3.0,4.0,3.0,4.0,5.0
1,0.0,48.0,1,1760,11.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,4.0,3.0,3.0,3.0,4.0,2.0
1,1.0,24.0,1,1595,0.0,1.0,1.0,5.0,3.0,1.0,3.0,3.0,5.0,2.0,2.0,5.0,1.0,3.0
1,0.0,32.0,1,2343,0.0,0.0,2.8503023724608467,3.0,1.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,1.0
1,1.0,17.0,1,1757,0.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,1.0,4.0,4.0,3.0,3.0
0,0.0,43.0,1,449,6.0,5.0,5.0,1.0,5.0,5.0,4.0,3.0,3.0,5.0,3.0,3.0,3.0,3.0
1,0.0,44.0,0,2159,0.0,4.0,4.0,4.0,1.0,1.0,2.0,5.0,5.0,5.0,5.0,2.0,5.0,4.0
0,0.0,48.0,0,547,30.0,2.0,1.0,1.0,1.0,3.0,4.0,2.0,3.4550870760769934,2.0,2.0,3.0,2.0,1.0
1,1.0,19.0,1,1689,3.0,1.0,0.0,1.0,3.0,0.0,2.0,3.0,5.0,3.0,5.0,4.0,4.0,3.0
1,0.0,25.0,0,4048,19.0,3.0,2.8503023724608467,1.0,3.0,3.0,3.0,1.0,2.0,2.0,2.0,3.0,2.0,3.0
0,0.0,66.0,1,1134,0.0,4.0,4.0,3.0,4.0,4.0,5.0,3.0,3.0,4.0,3.0,5.0,3.0,2.0
0,0.0,70.0,0,2581,0.0,2.0,5.0,5.0,2.0,4.0,4.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0
1,0.0,10.0,0,2337,8.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,2.0,3.0,3.0,4.0
